piloto,pais,estreia,ultima_corrida,equipes,corridas,vitorias,titulos,podios
Lewis Hamilton,Reino Unido,2007,2026,"McLaren, Mercedes, Ferrari",391,106,7,207
Michael Schumacher,Alemanha,1991,2012,"Jordan, Benetton, Ferrari, Mercedes",307,91,7,155
Max Verstappen,Países Baixos,2015,2026,"Toro Rosso, Red Bull",244,71,4,131
Sebastian Vettel,Alemanha,2007,2022,"BMW Sauber, Toro Rosso, Red Bull, Ferrari, Aston Martin",299,53,4,122
Ayrton Senna,Brasil,1984,1994,"Toleman, Lotus, McLaren, Williams",161,41,3,80
Alain Prost,França,1980,1993,"McLaren, Renault, Ferrari, Williams",199,51,4,106
Fernando Alonso,Espanha,2001,2026,"Minardi, Renault, McLaren, Ferrari, Alpine, Aston Martin",436,32,2,106
Nigel Mansell,Reino Unido,1980,1995,"Lotus, Williams, Ferrari, McLaren",187,31,1,59
Jackie Stewart,Reino Unido,1965,1973,"BRM, Matra, Tyrrell",99,27,3,43
Jim Clark,Reino Unido,1960,1968,"Lotus",72,25,2,32
Niki Lauda,Áustria,1971,1985,"March, BRM, Ferrari, Brabham, McLaren",171,25,3,54
Juan Manuel Fangio,Argentina,1950,1958,"Alfa Romeo, Maserati, Mercedes, Ferrari",51,24,5,35
Nelson Piquet,Brasil,1978,1991,"Ensign, McLaren, Brabham, Williams, Lotus, Benetton",204,23,3,60
Nico Rosberg,Alemanha,2006,2016,"Williams, Mercedes",206,23,1,57
Damon Hill,Reino Unido,1992,1999,"Brabham, Williams, Arrows, Jordan",115,22,1,42
Kimi Räikkönen,Finlândia,2001,2021,"Sauber, McLaren, Ferrari, Lotus, Alfa Romeo",349,21,1,103
Mika Häkkinen,Finlândia,1991,2001,"Lotus, McLaren",161,20,2,51
Stirling Moss,Reino Unido,1951,1961,"HWM, ERA, Connaught, Cooper, Maserati, Mercedes, Vanwall, BRM, Lotus, Ferguson",66,16,0,24
Jenson Button,Reino Unido,2000,2017,"Williams, Benetton, Renault, BAR, Honda, Brawn, McLaren",306,15,1,50
Jack Brabham,Austrália,1955,1970,"Cooper, Maserati, Brabham",126,14,3,31
Graham Hill,Reino Unido,1958,1975,"BRM, Lotus, Brabham, Embassy Hill",176,14,2,36
Emerson Fittipaldi,Brasil,1970,1980,"Lotus, McLaren, Fittipaldi",144,14,2,35
Lando Norris,Reino Unido,2019,2026,McLaren,162,13,1,47
